city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Acrelândia,1200013,9,58.99318,2020-04-04,,0,15256,TRUE,7,city,AC
Porto Acre,1200807,1,5.40424,2020-04-04,,0,18504,TRUE,7,city,AC
Rio Branco,1200401,36,8.83828,2020-04-04,,0,407319,TRUE,19,city,AC
,12,46,5.2158,2020-04-04,,0,881935,TRUE,19,state,AC
Importados/Indefinidos,,4,,2020-04-04,,0,,TRUE,7,city,AL
Maceió,2704302,17,1.66839,2020-04-04,0.1176,2,1018948,TRUE,25,city,AL
Marechal Deodoro,2704708,1,1.92675,2020-04-04,,0,51901,TRUE,2,city,AL
Porto Real do Colégio,2707503,1,4.98355,2020-04-04,,0,20066,TRUE,11,city,AL
,27,23,0.68917,2020-04-04,0.087,2,3337357,TRUE,25,state,AL
Anori,1300102,1,4.75964,2020-04-04,,0,21010,TRUE,7,city,AM
Boca do Acre,1300706,1,2.91477,2020-04-04,,0,34308,TRUE,10,city,AM
Careiro da Várzea,1301159,1,3.30852,2020-04-04,,0,30225,TRUE,5,city,AM
Importados/Indefinidos,,0,,2020-04-04,,5,,TRUE,8,city,AM
Itacoatiara,1301902,4,3.94723,2020-04-04,,0,101337,TRUE,7,city,AM
Manacapuru,1302504,10,10.26937,2020-04-04,0.1,1,97377,TRUE,9,city,AM
Manaus,1302603,283,12.96522,2020-04-04,0.0177,5,2182763,TRUE,19,city,AM
Novo Airão,1303205,1,5.14033,2020-04-04,,0,19454,TRUE,6,city,AM
Parintins,1303403,3,2.62529,2020-04-04,0.3333,1,114273,TRUE,13,city,AM
Santo Antônio do Içá,1303700,4,18.5168,2020-04-04,,0,21602,TRUE,10,city,AM
Tonantins,1304237,3,15.99573,2020-04-04,,0,18755,TRUE,3,city,AM
,13,311,7.50375,2020-04-04,0.0386,12,4144597,TRUE,19,state,AM
Macapá,1600303,27,5.36431,2020-04-04,0.037,1,503327,TRUE,16,city,AP
Oiapoque,1600501,1,3.66703,2020-04-04,,0,27270,TRUE,1,city,AP
,16,28,3.31075,2020-04-04,0.0357,1,845731,TRUE,16,state,AP
Adustina,2900355,1,5.86854,2020-04-04,,0,17040,TRUE,1,city,BA
Alagoinhas,2900702,4,2.63859,2020-04-04,,0,151596,TRUE,10,city,BA
Barra,2902708,1,1.86644,2020-04-04,,0,53578,TRUE,5,city,BA
Barra do Rocha,2903102,1,17.50088,2020-04-04,,0,5714,TRUE,4,city,BA
Barreiras,2903201,1,0.64334,2020-04-04,,0,155439,TRUE,14,city,BA
Belmonte,2903409,1,4.28669,2020-04-04,,0,23328,TRUE,3,city,BA
Brumado,2904605,5,7.44103,2020-04-04,,0,67195,TRUE,13,city,BA
Cachoeira,2904902,1,2.98775,2020-04-04,,0,33470,TRUE,1,city,BA
Camaçari,2905701,5,1.6715,2020-04-04,,0,299132,TRUE,16,city,BA
Canarana,2906204,1,3.82029,2020-04-04,,0,26176,TRUE,11,city,BA
Candeias,2906501,1,1.14842,2020-04-04,,0,87076,TRUE,5,city,BA
Catu,2907509,0,,2020-04-04,,0,54704,TRUE,5,city,BA
Coaraci,2908002,1,5.88478,2020-04-04,,0,16993,TRUE,5,city,BA
Conceição do Jacuípe,2908507,1,3.01632,2020-04-04,,0,33153,TRUE,14,city,BA
Conde,2908606,1,3.87042,2020-04-04,,0,25837,TRUE,12,city,BA
Dias d'Ávila,2910057,1,1.23321,2020-04-04,,0,81089,TRUE,6,city,BA
Feira de Santana,2910800,23,3.74062,2020-04-04,,0,614872,TRUE,28,city,BA
Gandu,2911204,1,3.08613,2020-04-04,,0,32403,TRUE,1,city,BA
Ilhéus,2913606,10,6.1604,2020-04-04,,0,162327,TRUE,11,city,BA
Importados/Indefinidos,,0,,2020-04-04,,0,,TRUE,12,city,BA
Ipiaú,2913903,1,2.17993,2020-04-04,,0,45873,TRUE,9,city,BA
Itabuna,2914802,6,2.81396,2020-04-04,,0,213223,TRUE,17,city,BA
Itagibá,2915205,2,13.71836,2020-04-04,,0,14579,TRUE,8,city,BA
Itajuípe,2915502,3,14.64057,2020-04-04,,0,20491,TRUE,5,city,BA
Itamaraju,2915601,1,1.55072,2020-04-04,,0,64486,TRUE,7,city,BA
Itapetinga,2916401,1,1.31325,2020-04-04,1,1,76147,TRUE,1,city,BA
Itororó,2917102,4,19.62516,2020-04-04,,0,20382,TRUE,7,city,BA
Jequié,2918001,1,0.64117,2020-04-04,,0,155966,TRUE,13,city,BA
Juazeiro,2918407,2,0.92291,2020-04-04,,0,216707,TRUE,13,city,BA
Lauro de Freitas,2919207,12,6.04717,2020-04-04,,0,198440,TRUE,17,city,BA
Medeiros Neto,2921104,1,4.40762,2020-04-04,,0,22688,TRUE,5,city,BA
Nova Soure,2922904,1,3.71099,2020-04-04,,0,26947,TRUE,6,city,BA
Pojuca,2925204,1,2.53043,2020-04-04,,0,39519,TRUE,7,city,BA
Porto Seguro,2925303,10,6.72558,2020-04-04,,0,148686,TRUE,20,city,BA
Prado,2925501,4,14.19749,2020-04-04,,0,28174,TRUE,19,city,BA
Salvador,2927408,215,7.48517,2020-04-04,0.0233,5,2872347,TRUE,22,city,BA
Santa Cruz Cabrália,2927705,2,7.19994,2020-04-04,,0,27778,TRUE,3,city,BA
São Domingos,2928950,1,11.03996,2020-04-04,,0,9058,TRUE,11,city,BA
Simões Filho,2930709,1,0.74417,2020-04-04,,0,134377,TRUE,1,city,BA
Teixeira de Freitas,2931350,3,1.86931,2020-04-04,,0,160487,TRUE,12,city,BA
Uruçuca,2932705,1,4.87353,2020-04-04,,0,20519,TRUE,1,city,BA
Utinga,2932804,1,5.21431,2020-04-04,1,1,19178,TRUE,2,city,BA
Vitória da Conquista,2933307,2,0.59088,2020-04-04,,0,338480,TRUE,4,city,BA
,29,336,2.25912,2020-04-04,0.0208,7,14873064,TRUE,28,state,BA
Brasília,5300108,456,15.12303,2020-04-04,0.0154,7,3015268,TRUE,28,city,DF
,53,456,15.12303,2020-04-04,0.0154,7,3015268,TRUE,28,state,DF
Afonso Cláudio,3200102,1,3.26947,2020-04-04,,0,30586,TRUE,4,city,ES
Alto Rio Novo,3200359,0,,2020-04-04,,0,7836,TRUE,5,city,ES
Aracruz,3200607,4,3.95179,2020-04-04,,0,101220,TRUE,4,city,ES
Cachoeiro de Itapemirim,3201209,1,0.47853,2020-04-04,,0,208972,TRUE,16,city,ES
Cariacica,3201308,14,3.67179,2020-04-04,,0,381285,TRUE,16,city,ES
Castelo,3201407,2,5.3285,2020-04-04,,0,37534,TRUE,10,city,ES
Colatina,3201506,1,0.81633,2020-04-04,,0,122499,TRUE,2,city,ES
Fundão,3202207,1,4.64922,2020-04-04,,0,21509,TRUE,3,city,ES
Guarapari,3202405,3,2.40271,2020-04-04,,0,124859,TRUE,8,city,ES
Importados/Indefinidos,,0,,2020-04-04,,0,,TRUE,12,city,ES
Itapemirim,3202801,1,2.91138,2020-04-04,,0,34348,TRUE,8,city,ES
Linhares,3203205,8,4.60949,2020-04-04,,0,173555,TRUE,17,city,ES
Santa Teresa,3204609,1,4.23908,2020-04-04,,0,23590,TRUE,13,city,ES
São Mateus,3204906,4,3.06253,2020-04-04,0.25,1,130611,TRUE,7,city,ES
São Roque do Canaã,3204955,1,8.05477,2020-04-04,,0,12415,TRUE,9,city,ES
Serra,3205002,28,5.41052,2020-04-04,0.0357,1,517510,TRUE,13,city,ES
Sooretama,3205010,2,6.65115,2020-04-04,,0,30070,TRUE,3,city,ES
Viana,3205101,1,1.27813,2020-04-04,,0,78239,TRUE,5,city,ES
Vila Velha,3205200,50,10.12478,2020-04-04,0.04,2,493838,TRUE,17,city,ES
Vitória,3205309,43,11.87527,2020-04-04,0.0465,2,362097,TRUE,17,city,ES
,32,166,4.13074,2020-04-04,0.0301,5,4018650,TRUE,31,state,ES
Águas Lindas de Goiás,5200258,1,0.47072,2020-04-04,,0,212440,TRUE,8,city,GO
Anápolis,5201108,6,1.5507,2020-04-04,,0,386923,TRUE,19,city,GO
Aparecida de Goiânia,5201405,1,0.17296,2020-04-04,,0,578179,TRUE,17,city,GO
Bom Jesus de Goiás,5203500,1,3.96574,2020-04-04,,0,25216,TRUE,2,city,GO
Caldas Novas,5204508,0,,2020-04-04,,0,91162,TRUE,4,city,GO
Campestre de Goiás,5204607,1,27.54821,2020-04-04,,0,3630,TRUE,4,city,GO
Catalão,5205109,1,0.91892,2020-04-04,,0,108823,TRUE,14,city,GO
Cidade Ocidental,5205497,1,1.40103,2020-04-04,,0,71376,TRUE,4,city,GO
Goianésia,5208608,1,1.42686,2020-04-04,,0,70084,TRUE,8,city,GO
Goiânia,5208707,65,4.28728,2020-04-04,0.0154,1,1516113,TRUE,23,city,GO
Hidrolândia,5209705,0,,2020-04-04,,0,21706,TRUE,9,city,GO
Importados/Indefinidos,,2,,2020-04-04,,0,,TRUE,16,city,GO
Itumbiara,5211503,2,1.90945,2020-04-04,,0,104742,TRUE,6,city,GO
Jataí,5211909,2,1.98251,2020-04-04,,0,100882,TRUE,17,city,GO
Luziânia,5212501,1,0.48008,2020-04-04,1,1,208299,TRUE,11,city,GO
Nova Veneza,5215009,1,10.14919,2020-04-04,,0,9853,TRUE,2,city,GO
Paranaiguara,5216304,1,9.94332,2020-04-04,,0,10057,TRUE,5,city,GO
Rio Verde,5218805,7,2.97054,2020-04-04,,0,235647,TRUE,23,city,GO
São Luís de Montes Belos,5220108,1,2.95709,2020-04-04,,0,33817,TRUE,2,city,GO
Senador Canedo,5220454,1,0.86677,2020-04-04,,0,115371,TRUE,2,city,GO
Silvânia,5220603,1,4.83209,2020-04-04,,0,20695,TRUE,11,city,GO
Trindade,5221403,1,0.78371,2020-04-04,,0,127599,TRUE,4,city,GO
Valparaíso de Goiás,5221858,5,2.96792,2020-04-04,,0,168468,TRUE,12,city,GO
,52,103,1.46758,2020-04-04,0.0194,2,7018354,TRUE,24,state,GO
Alfenas,3101607,1,1.25006,2020-04-04,,0,79996,TRUE,5,city,MG
Araguari,3103504,1,0.85275,2020-04-04,,0,117267,TRUE,4,city,MG
Arcos,3104205,1,2.49426,2020-04-04,,0,40092,TRUE,3,city,MG
Barbacena,3105608,1,0.72826,2020-04-04,,0,137313,TRUE,3,city,MG
Belo Horizonte,3106200,237,9.43445,2020-04-04,0.0127,3,2512070,TRUE,19,city,MG
Betim,3106705,5,1.13807,2020-04-04,,0,439340,TRUE,13,city,MG
Boa Esperança,3107109,1,2.49209,2020-04-04,,0,40127,TRUE,10,city,MG
Bom Despacho,3107406,1,1.97609,2020-04-04,,0,50605,TRUE,13,city,MG
Campo Belo,3111200,1,1.85086,2020-04-04,,0,54029,TRUE,9,city,MG
Campos Altos,3111507,1,6.46789,2020-04-04,,0,15461,TRUE,13,city,MG
Capitólio,3112802,1,11.5848,2020-04-04,,0,8632,TRUE,4,city,MG
Carmo da Cachoeira,3113909,1,8.21693,2020-04-04,,0,12170,TRUE,1,city,MG
Carmo do Cajuru,3114204,1,4.44879,2020-04-04,,0,22478,TRUE,9,city,MG
Contagem,3118601,11,1.65699,2020-04-04,,0,663855,TRUE,13,city,MG
Coronel Fabriciano,3119401,1,0.91029,2020-04-04,,0,109855,TRUE,18,city,MG
Divinópolis,3122306,14,5.87667,2020-04-04,,0,238230,TRUE,26,city,MG
Esmeraldas,3124104,1,1.41739,2020-04-04,,0,70552,TRUE,2,city,MG
Extrema,3125101,1,2.76052,2020-04-04,,0,36225,TRUE,7,city,MG
Governador Valadares,3127701,2,0.71458,2020-04-04,,0,279885,TRUE,10,city,MG
Guimarânia,3128907,1,12.43936,2020-04-04,,0,8039,TRUE,9,city,MG
Importados/Indefinidos,,6,,2020-04-04,,0,,TRUE,14,city,MG
Ipatinga,3131307,1,0.37964,2020-04-04,,0,263410,TRUE,22,city,MG
Itabira,3131703,1,0.83292,2020-04-04,,0,120060,TRUE,2,city,MG
Juiz de Fora,3136702,30,5.27358,2020-04-04,,0,568873,TRUE,20,city,MG
Lagoa da Prata,3137205,5,9.58497,2020-04-04,,0,52165,TRUE,13,city,MG
Lavras,3138203,2,1.92728,2020-04-04,,0,103773,TRUE,4,city,MG
Manhuaçu,3139409,1,1.10829,2020-04-04,,0,90229,TRUE,6,city,MG
Mariana,3140001,3,4.94039,2020-04-04,0.3333,1,60724,TRUE,15,city,MG
Muriaé,3143906,3,2.75829,2020-04-04,,0,108763,TRUE,7,city,MG
Nanuque,3144300,2,4.90798,2020-04-04,,0,40750,TRUE,1,city,MG
Nova Lima,3144805,32,33.72361,2020-04-04,,0,94889,TRUE,18,city,MG
Patos de Minas,3148004,1,0.65579,2020-04-04,,0,152488,TRUE,1,city,MG
Patrocínio,3148103,3,3.30553,2020-04-04,,0,90757,TRUE,20,city,MG
Poços de Caldas,3151800,2,1.19476,2020-04-04,,0,167397,TRUE,15,city,MG
Pouso Alegre,3152501,3,1.99022,2020-04-04,,0,150737,TRUE,4,city,MG
Ribeirão das Neves,3154606,1,0.29863,2020-04-04,,0,334858,TRUE,3,city,MG
Sabará,3156700,4,2.93376,2020-04-04,,0,136344,TRUE,9,city,MG
Santa Luzia,3157807,1,0.45634,2020-04-04,,0,219134,TRUE,7,city,MG
Santana do Paraíso,3158953,1,2.88492,2020-04-04,,0,34663,TRUE,3,city,MG
Santo Antônio do Monte,3160405,2,7.0814,2020-04-04,,0,28243,TRUE,3,city,MG
São João del Rei,3162500,3,3.3303,2020-04-04,,0,90082,TRUE,10,city,MG
Serra do Salitre,3166808,1,8.63409,2020-04-04,,0,11582,TRUE,7,city,MG
Sete Lagoas,3167202,2,0.83459,2020-04-04,,0,239639,TRUE,18,city,MG
Timóteo,3168705,1,1.11307,2020-04-04,,0,89842,TRUE,13,city,MG
Toledo,3169109,1,15.97955,2020-04-04,,0,6258,TRUE,3,city,MG
Uberaba,3170107,4,1.19838,2020-04-04,,0,333783,TRUE,15,city,MG
Uberlândia,3170206,26,3.761,2020-04-04,0.0769,2,691305,TRUE,18,city,MG
Unaí,3170404,1,1.18514,2020-04-04,,0,84378,TRUE,6,city,MG
Varginha,3170701,3,2.21307,2020-04-04,,0,135558,TRUE,1,city,MG
,31,430,2.03129,2020-04-04,0.014,6,21168791,TRUE,27,state,MG
Alcinópolis,5000252,1,18.71608,2020-04-04,,0,5343,TRUE,5,city,MS
Batayporã,5002001,5,44.13452,2020-04-04,0.2,1,11329,TRUE,9,city,MS
Campo Grande,5002704,43,4.7992,2020-04-04,,0,895982,TRUE,22,city,MS
Dourados,5003702,6,2.6912,2020-04-04,,0,222949,TRUE,8,city,MS
Nova Andradina,5006200,3,5.51734,2020-04-04,,0,54374,TRUE,5,city,MS
Ponta Porã,5006606,1,1.08078,2020-04-04,,0,92526,TRUE,15,city,MS
Rio Verde de Mato Grosso,5007406,1,5.06432,2020-04-04,,0,19746,TRUE,9,city,MS
Sidrolândia,5007901,1,1.73415,2020-04-04,,0,57665,TRUE,17,city,MS
Três Lagoas,5008305,1,0.8238,2020-04-04,,0,121388,TRUE,4,city,MS
,50,62,2.23103,2020-04-04,0.0161,1,2778986,TRUE,22,state,MS
Alta Floresta,5100250,1,1.93117,2020-04-04,,0,51782,TRUE,1,city,MT
Campo Novo do Parecis,5102637,1,2.82805,2020-04-04,,0,35360,TRUE,1,city,MT
Chapada dos Guimarães,5103007,1,5.06278,2020-04-04,,0,19752,TRUE,1,city,MT
Cuiabá,5103403,37,6.04035,2020-04-04,,0,612547,TRUE,12,city,MT
Lucas do Rio Verde,5105259,1,1.52593,2020-04-04,1,1,65534,TRUE,3,city,MT
Nova Monte Verde,5108956,1,10.89562,2020-04-04,,0,9178,TRUE,10,city,MT
Nova Mutum,5106224,1,2.20371,2020-04-04,,0,45378,TRUE,1,city,MT
Rondonópolis,5107602,6,2.58075,2020-04-04,,0,232491,TRUE,6,city,MT
Sinop,5107909,3,2.09796,2020-04-04,,0,142996,TRUE,3,city,MT
Tangará da Serra,5107958,4,3.85542,2020-04-04,,0,103750,TRUE,4,city,MT
Várzea Grande,5108402,4,1.40365,2020-04-04,,0,284971,TRUE,11,city,MT
,51,60,1.72193,2020-04-04,0.0167,1,3484466,TRUE,13,state,MT
Abaetetuba,1500107,1,0.63412,2020-04-04,,0,157698,TRUE,5,city,PA
Altamira,1500602,1,0.87265,2020-04-04,,0,114594,TRUE,2,city,PA
Ananindeua,1500800,10,1.88467,2020-04-04,,0,530598,TRUE,11,city,PA
Barcarena,1501303,1,0.80205,2020-04-04,,0,124680,TRUE,4,city,PA
Belém,1501402,43,2.8806,2020-04-04,,0,1492745,TRUE,18,city,PA
Benevides,1501501,1,1.59396,2020-04-04,,0,62737,TRUE,2,city,PA
Castanhal,1502400,2,0.99605,2020-04-04,,0,200793,TRUE,10,city,PA
Goianésia do Pará,1503093,1,2.47066,2020-04-04,,0,40475,TRUE,2,city,PA
Itaituba,1503606,3,2.96305,2020-04-04,,0,101247,TRUE,10,city,PA
Marabá,1504208,2,0.71595,2020-04-04,,0,279349,TRUE,13,city,PA
Marituba,1504422,2,1.52067,2020-04-04,,0,131521,TRUE,5,city,PA
Novo Progresso,1505031,1,3.88169,2020-04-04,,0,25762,TRUE,2,city,PA
Oeiras do Pará,1505205,1,3.07579,2020-04-04,,0,32512,TRUE,2,city,PA
Parauapebas,1505536,2,0.96028,2020-04-04,,0,208273,TRUE,8,city,PA
Santarém,1506807,5,1.64156,2020-04-04,0.2,1,304589,TRUE,4,city,PA
São Geraldo do Araguaia,1507458,1,4.02463,2020-04-04,,0,24847,TRUE,2,city,PA
Tucuruí,1508100,1,0.87982,2020-04-04,,0,113659,TRUE,5,city,PA
,15,78,0.90667,2020-04-04,0.0128,1,8602865,TRUE,18,state,PA
Cabedelo,2503209,1,1.47632,2020-04-04,,0,67736,TRUE,4,city,PB
Campina Grande,2504009,2,0.48813,2020-04-04,,0,409731,TRUE,9,city,PB
Igaracy,2502607,1,16.34788,2020-04-04,,0,6117,TRUE,13,city,PB
João Pessoa,2507507,26,3.21378,2020-04-04,0.0385,1,809015,TRUE,18,city,PB
Junco do Seridó,2507804,1,13.98601,2020-04-04,1,1,7150,TRUE,2,city,PB
Patos,2510808,1,0.92932,2020-04-04,1,1,107605,TRUE,6,city,PB
Serra Branca,2515500,1,7.2998,2020-04-04,,0,13699,TRUE,2,city,PB
Sousa,2516201,1,1.44001,2020-04-04,,0,69444,TRUE,9,city,PB
,25,34,0.84617,2020-04-04,0.0882,3,4018127,TRUE,24,state,PB
Aliança,2600708,1,2.60512,2020-04-04,,0,38386,TRUE,4,city,PE
Belo Jardim,2601706,1,1.30823,2020-04-04,,0,76439,TRUE,17,city,PE
Cabo de Santo Agostinho,2602902,4,1.93192,2020-04-04,0.25,1,207048,TRUE,2,city,PE
Camaragibe,2603454,6,3.80161,2020-04-04,,0,157828,TRUE,9,city,PE
Caruaru,2604106,2,0.55384,2020-04-04,,0,361118,TRUE,13,city,PE
Fernando de Noronha,2605459,7,228.68344,2020-04-04,,0,3061,TRUE,9,city,PE
Goiana,2606200,1,1.25379,2020-04-04,1,1,79758,TRUE,9,city,PE
Importados/Indefinidos,,6,,2020-04-04,0.1667,1,,TRUE,19,city,PE
Ipubi,2607307,1,3.24107,2020-04-04,,0,30854,TRUE,5,city,PE
Jaboatão dos Guararapes,2607901,11,1.56629,2020-04-04,,0,702298,TRUE,17,city,PE
Olinda,2609600,8,2.03831,2020-04-04,0.125,1,392482,TRUE,14,city,PE
Palmares,2610004,1,1.58103,2020-04-04,,0,63250,TRUE,6,city,PE
Paulista,2610707,3,0.90423,2020-04-04,,0,331774,TRUE,2,city,PE
Petrolina,2611101,2,0.57283,2020-04-04,,0,349145,TRUE,13,city,PE
Recife,2611606,119,7.23085,2020-04-04,0.084,10,1645727,TRUE,21,city,PE
São Lourenço da Mata,2613701,3,2.64947,2020-04-04,,0,113230,TRUE,8,city,PE
,26,176,1.84157,2020-04-04,0.0795,14,9557071,TRUE,24,state,PE
Campo Maior,2202208,1,2.13525,2020-04-04,,0,46833,TRUE,2,city,PI
Parnaíba,2207702,1,0.65326,2020-04-04,1,1,153078,TRUE,7,city,PI
São José do Divino,2210052,1,18.70557,2020-04-04,1,1,5346,TRUE,8,city,PI
Teresina,2211001,21,2.42818,2020-04-04,0.0952,2,864845,TRUE,15,city,PI
,22,24,0.73322,2020-04-04,0.1667,4,3273227,TRUE,15,state,PI
Importados/Indefinidos,,5,,2020-04-04,,0,,TRUE,7,city,RN
,24,215,6.13085,2020-04-04,0.0279,6,3506853,TRUE,18,state,RN
Jaru,1100114,1,1.93143,2020-04-04,,0,51775,TRUE,6,city,RO
Ji-Paraná,1100122,1,0.77538,2020-04-04,,0,128969,TRUE,15,city,RO
Porto Velho,1100205,9,1.69958,2020-04-04,0.1111,1,529544,TRUE,14,city,RO
,11,11,0.61894,2020-04-04,0.0909,1,1777225,TRUE,15,state,RO
Alegrete,4300406,1,1.3589,2020-04-04,,0,73589,TRUE,4,city,RS
Alvorada,4300604,3,1.4265,2020-04-04,,0,210305,TRUE,17,city,RS
Anta Gorda,4300703,2,33.43922,2020-04-04,,0,5981,TRUE,12,city,RS
Bagé,4301602,18,14.85847,2020-04-04,,0,121143,TRUE,17,city,RS
Bento Gonçalves,4302105,9,7.47173,2020-04-04,,0,120454,TRUE,16,city,RS
Cachoeira do Sul,4303004,1,1.21653,2020-04-04,,0,82201,TRUE,9,city,RS
Cachoeirinha,4303103,2,1.535,2020-04-04,,0,130293,TRUE,5,city,RS
Campo Bom,4303905,3,4.49694,2020-04-04,,0,66712,TRUE,23,city,RS
Canguçu,4304507,1,1.78428,2020-04-04,,0,56045,TRUE,8,city,RS
Canoas,4304606,8,2.30803,2020-04-04,,0,346616,TRUE,15,city,RS
Capão da Canoa,4304630,2,3.7701,2020-04-04,,0,53049,TRUE,13,city,RS
Capão do Leão,4304663,1,3.94415,2020-04-04,,0,25354,TRUE,5,city,RS
Carlos Barbosa,4304804,1,3.35199,2020-04-04,,0,29833,TRUE,15,city,RS
Caxias do Sul,4305108,13,2.5445,2020-04-04,,0,510906,TRUE,21,city,RS
Cerro Grande do Sul,4305173,1,8.1706,2020-04-04,,0,12239,TRUE,11,city,RS
Charqueadas,4305355,1,2.45164,2020-04-04,,0,40789,TRUE,15,city,RS
Cruzeiro do Sul,4306205,1,8.09848,2020-04-04,,0,12348,TRUE,13,city,RS
Dois Irmãos,4306403,2,6.12164,2020-04-04,,0,32671,TRUE,15,city,RS
Dom Pedrito,4306601,1,2.60004,2020-04-04,,0,38461,TRUE,11,city,RS
Eldorado do Sul,4306767,1,2.42219,2020-04-04,,0,41285,TRUE,15,city,RS
Erechim,4307005,3,2.83388,2020-04-04,,0,105862,TRUE,17,city,RS
Estância Velha,4307609,3,5.99736,2020-04-04,,0,50022,TRUE,14,city,RS
Estrela,4307807,1,2.93118,2020-04-04,,0,34116,TRUE,15,city,RS
Farroupilha,4307906,2,2.76507,2020-04-04,,0,72331,TRUE,17,city,RS
Garibaldi,4308607,1,2.85144,2020-04-04,,0,35070,TRUE,12,city,RS
Gravataí,4309209,9,3.19694,2020-04-04,,0,281519,TRUE,11,city,RS
Guaíba,4309308,1,1.01892,2020-04-04,,0,98143,TRUE,3,city,RS
Ivoti,4310801,4,16.46565,2020-04-04,0.25,1,24293,TRUE,16,city,RS
Lajeado,4311403,6,7.14167,2020-04-04,,0,84014,TRUE,15,city,RS
Marau,4311809,3,6.79332,2020-04-04,,0,44161,TRUE,10,city,RS
Nova Palma,4313102,1,15.35627,2020-04-04,,0,6512,TRUE,10,city,RS
Novo Hamburgo,4313409,14,5.6738,2020-04-04,0.1429,2,246748,TRUE,7,city,RS
Osório,4313508,1,2.1742,2020-04-04,,0,45994,TRUE,13,city,RS
Paraí,4314001,1,13.05995,2020-04-04,,0,7657,TRUE,12,city,RS
Passo Fundo,4314100,3,1.47583,2020-04-04,,0,203275,TRUE,10,city,RS
Pelotas,4314407,3,0.87616,2020-04-04,,0,342405,TRUE,11,city,RS
Piratini,4314605,1,4.83957,2020-04-04,,0,20663,TRUE,10,city,RS
Porto Alegre,4314902,241,16.2424,2020-04-04,0.0166,4,1483771,TRUE,22,city,RS
Rio Grande,4315602,2,0.94784,2020-04-04,,0,211005,TRUE,13,city,RS
Rolante,4316006,1,4.68406,2020-04-04,,0,21349,TRUE,10,city,RS
Santa Maria,4316907,2,0.70891,2020-04-04,,0,282123,TRUE,14,city,RS
Sant'Ana do Livramento,4317103,5,6.49123,2020-04-04,,0,77027,TRUE,16,city,RS
Santa Rosa,4317202,2,2.73023,2020-04-04,,0,73254,TRUE,9,city,RS
Santiago,4317400,1,2.02327,2020-04-04,,0,49425,TRUE,13,city,RS
Santo Antônio da Patrulha,4317608,1,2.33133,2020-04-04,,0,42894,TRUE,14,city,RS
São Domingos do Sul,4318051,1,32.5309,2020-04-04,,0,3074,TRUE,5,city,RS
São Gabriel,4318309,1,1.61018,2020-04-04,,0,62105,TRUE,3,city,RS
São Leopoldo,4318705,8,3.37788,2020-04-04,,0,236835,TRUE,15,city,RS
São Sebastião do Caí,4319505,2,7.78665,2020-04-04,,0,25685,TRUE,4,city,RS
Sapiranga,4319901,1,1.22348,2020-04-04,,0,81734,TRUE,18,city,RS
Sapucaia do Sul,4320008,1,0.70884,2020-04-04,,0,141075,TRUE,3,city,RS
Serafina Corrêa,4320404,3,17.1409,2020-04-04,,0,17502,TRUE,15,city,RS
Taquara,4321204,1,1.74016,2020-04-04,,0,57466,TRUE,17,city,RS
Taquari,4321303,1,3.72273,2020-04-04,,0,26862,TRUE,6,city,RS
Torres,4321501,8,20.65476,2020-04-04,,0,38732,TRUE,15,city,RS
Tramandaí,4321600,1,1.93367,2020-04-04,,0,51715,TRUE,3,city,RS
Uruguaiana,4322400,1,0.78759,2020-04-04,,0,126970,TRUE,3,city,RS
Viamão,4323002,4,1.56725,2020-04-04,,0,255224,TRUE,13,city,RS
Vila Maria,4323408,1,22.94631,2020-04-04,,0,4358,TRUE,3,city,RS
,43,418,3.674,2020-04-04,0.0167,7,11377239,TRUE,23,state,RS
Antônio Carlos,4201208,8,93.97392,2020-04-04,0.125,1,8513,TRUE,9,city,SC
Araranguá,4201406,2,2.93135,2020-04-04,,0,68228,TRUE,2,city,SC
Balneário Arroio do Silva,4201950,1,7.65052,2020-04-04,,0,13071,TRUE,11,city,SC
Balneário Camboriú,4202008,12,8.43318,2020-04-04,,0,142295,TRUE,18,city,SC
Biguaçu,4202305,1,1.46026,2020-04-04,,0,68481,TRUE,3,city,SC
Blumenau,4202404,25,6.9989,2020-04-04,,0,357199,TRUE,14,city,SC
Braço do Norte,4202800,15,44.84305,2020-04-04,,0,33450,TRUE,21,city,SC
Brusque,4202909,4,2.96906,2020-04-04,,0,134723,TRUE,8,city,SC
Camboriú,4203204,7,8.43485,2020-04-04,,0,82989,TRUE,11,city,SC
Canelinha,4203709,1,8.16993,2020-04-04,,0,12240,TRUE,11,city,SC
Chapecó,4204202,5,2.26894,2020-04-04,,0,220367,TRUE,16,city,SC
Criciúma,4204608,23,10.68843,2020-04-04,0.0435,1,215186,TRUE,16,city,SC
Florianópolis,4205407,90,17.96504,2020-04-04,0.0111,1,500973,TRUE,24,city,SC
Gaspar,4205902,2,2.87195,2020-04-04,,0,69639,TRUE,13,city,SC
Governador Celso Ramos,4206009,1,6.91037,2020-04-04,,0,14471,TRUE,2,city,SC
Gravatal,4206207,4,34.77958,2020-04-04,,0,11501,TRUE,15,city,SC
Içara,4207007,1,1.77239,2020-04-04,,0,56421,TRUE,13,city,SC
Imbituba,4207304,6,13.37703,2020-04-04,,0,44853,TRUE,16,city,SC
Importados/Indefinidos,,9,,2020-04-04,,0,,TRUE,11,city,SC
